(180261502666227619970782182606871566688431518932597, 276)
(741945895032009334372494780584804709268326831548657, 1136)
(757620808307333475239519318202793541154277398412361, 1160)
(765458264944995545673031587011787957097252681844213, 1172)
(979682079707758804189033601124301992871910428981501, 1500)
(987519536345420874622545869933296408814885712413353, 1512)
(1000581964074857658678399651281620435386511184799773, 1532)
(1024094333987843869978936457708603683215437035095329, 1568)
(1277505431938917480662499815866089798704971199391877, 1956)
(1732077916923317565806211406787765923397537638439293, 2652)
(1763427743473965847540260482023743587169438772166701, 2700)
(2176200459724168223705239972630782826832803699577573, 3332)
(2818871904012457999253246014968324934156776940989437, 4316)
(3053995603142320112258614079238157412446035443944997, 4676)
(3291731787818069582075152899777654696049619041377841, 5040)
(3456318377208973061178910544766537430852099993446733, 5292)
(3471993290484297202045935082384526262738050560310437, 5316)
(3519018030310269624647008695238492758395902260901549, 5388)
(3707116989614159315051303146654358741027309063265997, 5676)
(3730629359527145526351839953081341988856234913561553, 5712)
(4088539879313713409482233562025420316918772856949461, 6260)
(4334113520627124949732284651373912016465331737814157, 6636)
(4381138260453097372333358264227878512123183438405269, 6708)
(4402038144820196226822724314385196954637784194223541, 6740)
(4459512826829718076668480952317822671552936272723789, 6828)
(4864448086442258382399948174115867495273325916702809, 7448)
(5047322074654373359181901112992403867276082530112689, 7728)
(5232808548412375692775024808138605044593164237999853, 8012)
(5350370397977306749277708840273521283737793489477633, 8192)
(5663868663483789566618199592633297921456804826751713, 8672)
(5862417564971228684267177069127823125345512007025297, 8976)
(5891154905975989609190055388094135983803088046275421, 9020)
(5979979414536159740769861101262739364490141258503077, 9156)
(6160240917202387360740643283869610931178572777435673, 9432)
(6473739182708870178081134036229387568897584114709753, 9912)
(7262709817566851935054702429668158773823762646849521, 11120)
(7508283458880263475304753519016650473370321527714217, 11496)
(8156179874260327964475101073893522191322944958080649, 12488)
(8383466116752528007046956869354360253669228177604357, 12836)
(8406978486665514218347493675781343501498154027899913, 12872)
(8438328313216162500081542751017321165270055161627321, 12920)
(8461840683129148711382079557444304413098981011922877, 12956)
(8681289468983686683520423084096148059502288948014733, 13292)
(8720476752171997035687984428141120139217165365173993, 13352)
(8869388428287576373924717535512014042133695750379181, 13580)
(9044424959862029280273158205579555998193477080357209, 13848)
(9151536867243410909531159212635813016080805953925853, 14012)
(9169824266064622407209354506523466653281081615266841, 14040)
(9357923225368512097613648957939332635912488417631289, 14328)
(9370985653097948881669502739287656662484113890017709, 14348)
(10024107039569788084462191806703857991065387509338709, 15348)
(10029332010661562798084533319243187601694037698293277, 15356)
(10039781952845112225329216344321846822951338076202413, 15372)
(10180856172323029493132437182883746309924893177975749, 15588)
(10186081143414804206754778695423075920553543366930317, 15596)
(10267068195337312267901072139782684885297621295726121, 15720)
(10376792588264581253970243903108606708499275263772049, 15888)
(10499579408921287024095269447782852558272554704204397, 16076)
(10554441605384921517129855329445813469873381688227361, 16160)
(10604078830756781296542099698569444770845558483295757, 16236)
(10627591200669767507842636504996428018674484333591313, 16272)
(11024689003644645743140591457985478426451898694138481, 16880)
(11121350968842477945153909439963076223081927189797989, 17028)
(11440074205440735476116741704862182471429588716026637, 17516)
(11479261488629045828284303048907154551144465133185897, 17576)
(11505386344087919396396010611603802604287716077958737, 17616)
(11669972933478822875499768256592685339090197030027629, 17868)
(11795372239681416002435964557536595994177801564937261, 18060)
(11878971777149811420393428758165869764236204588210349, 18188)
(11912934089246347058938648589671512233322430816415041, 18240)
(11920771545884009129372160858480506649265406099846893, 18252)
(12270844609032914942069042198615590561384968759802949, 18788)
(12364894088684859787271189424323523552700672160985173, 18932)
(12822079059215147229226071771514864482707563694509873, 19632)
(12853428885765795510960120846750842146479464828237281, 19680)
(12976215706422501281085146391425087996252744268669629, 19868)
(13088552584895657623965488911020674624768723331192841, 20040)
(13127739868083967976133050255065646704483599748352101, 20100)
(13399438364856253084494808907110786457173409573989637, 20516)
(13449075590228112863907053276234417758145586369058033, 20592)
(13550962526517719779542712770751345165404265053672109, 20748)
(13558799983155381849976225039560339581347240337103961, 20760)
(13752123913551046254002861003515535174607297328422977, 21056)
(14285070964912067043481695282527155458729616601788913, 21872)
(14402632814476998099984379314662071697874245853266693, 22052)
(14460107496486519949830135952594697414789397931766941, 22140)
(14716131079983480917324870067021848335593257190540773, 22532)
(15021791888852301664231848550572630557369293244383001, 23000)
(15131516281779570650301020313898552380570947212428929, 23168)
(15288265414532812058971265690078440699430452881065969, 23408)
(15868237205719805271051173581944027479210623855023017, 24296)
(15910036974454002980029905682258664364239825366659561, 24360)
(16137323216946203022601761477719502426586108586183269, 24708)
(16197410384501612229258688871921792948815585759160801, 24800)
(16270559979786458219971470047472407497616688404524753, 24912)
(16380284372713727206040641810798329320818342372570681, 25080)
(16675495239398998525702937269270452321337078048503773, 25532)
(16691170152674322666569961806888441153223028615367477, 25556)
(16819181944422803150317328864102016613624958244754393, 25752)
(16863594198702888216107231720686318303968484850868221, 25820)
(16910618938528860638708305333540284799626336551459333, 25892)
(16968093620538382488554061971472910516541488629959581, 25980)
(17328616625870837728495626336686653649918351667824773, 26532)
(17443565989889881428187139612551905083748655824825269, 26708)
(17710039515570391822926556752057715225809815461508237, 27116)
(17783189110855237813639337927608329774610918106872189, 27228)
(17827601365135322879429240784192631464954444712986017, 27296)
(17960838127975578076798949353945536535985024531327501, 27500)
(18039212694352198781134072042035480695414777365646021, 27620)
(18229924139201975828349537249721011483360509262487753, 27912)
(18572159745713219570612906321047100979537096639011957, 28436)
(18613959514447417279591638421361737864566298150648501, 28500)
(18627021942176854063647492202710061891137923623034921, 28520)
(19120781710349564500958765137676710095545366479241597, 29276)
(19632828877343486435948233366531011937153084996789261, 30060)
(19786965524550840487807307986441235450698265570949017, 30296)
(19943714657304081896477553362621123769557771239586057, 30536)
(20024701709226589957623846806980732734301849168381861, 30660)
(20526298934036962465368632010756375354652267308020389, 31428)
(20730072806616176296639950999790230169169624677248541, 31740)
(20735297777707951010262292512329559779798274866203109, 31748)
(20957359049108376339211806795251068231515907896772249, 32088)
(21393644135271564926677323092285090719008198674478677, 32756)
(21513818470382383339991177880689671763467153020433741, 32940)
(21526880898111820124047031662037995790038778492820161, 32960)
(21683630030865061532717277038217884108898284161457201, 33200)
(21879566446806613293555083758442744507472666247253501, 33500)
(22054602978381066199903524428510286463532447577231529, 33768)
(22258376850960280031174843417544141278049804946459681, 34080)
(22281889220873266242475380223971124525878730796755237, 34116)
(22344588873974562805943478374443079853422533064210053, 34212)
(22373326214979323730866356693409392711880109103460177, 34256)
(22697274422669355975451530470847828570856420818643393, 34752)
(23512369912986211300536806426983247828925850295556001, 36000)
(23598581936000494075305441383882186404298578413306373, 36132)
(24006129681158921737848079361949896033333293151762677, 36756)
(24209903553738135569119398350983750847850650520990829, 37068)
(24732400662915606931353549604916711910715669416447629, 37868)
(25111211067069273668973309264018108681292808115653809, 38448)
(25288860084189613932132920690355315442666914540109121, 38720)
(25346334766199135781978677328287941159582066618609369, 38808)
(25620645748517308247151606736602745717586201538724189, 39228)
(25769557424632887585388339843973639620502731923929377, 39456)
(25876669332014269214646340851029896638390060797498021, 39620)
(26143142857694779609385757990535706780451220434180989, 40028)
(26161430256515991107063953284423360417651496095521977, 40056)
(26294667019356246304433661854176265488682075913863461, 40260)
(26315566903723345158923027904333583931196676669681733, 40292)
(26326016845906894586167710929412243152453977047590869, 40308)
(26725727134427660178276836638670958365545716502615321, 40920)
(26770139388707745244066739495255260055889243108729149, 40988)
