(87545361770727853481, 40)
(131318042656091780221, 60)
(140072578833164565569, 64)
(210108868249746848353, 96)
(323917838551693057877, 148)
(998017124186297529673, 456)
(1654607337466756430773, 756)
(1768416307768702640297, 808)
(1890979814247721635169, 864)
(1899734350424794420517, 868)
(1917243422778939991213, 876)
(2136106827205759624913, 976)
(2267424869861851405133, 1036)
(2425006521049161541397, 1108)
(2468779201934525468137, 1128)
(2845224257548655238101, 1300)
(2976542300204747018321, 1360)
(3081596734329620442497, 1408)
(3370496428173022358981, 1540)
(3519323543183259709897, 1608)
(3624377977308133134073, 1656)
(3755696019964224914293, 1716)
(4123386539401281898909, 1884)
(4280968190588592035173, 1956)
(4421040769421756600741, 2020)
(4779976752681740800009, 2184)
(5077630982702215501841, 2320)
(5489094183024636413197, 2508)
(5699203051274383261549, 2604)
(5734221195982674402941, 2620)
(5813012021576329471073, 2656)
(5830521093930475041769, 2664)
(5839275630107547827117, 2668)
(5961839136586566821989, 2724)
(6487111307210933942869, 2964)
(6705974711637753576569, 3064)
(6837292754293845356789, 3124)
(7021138014012373849097, 3208)
(7038647086366519419793, 3216)
(7047401622543592205141, 3220)
(7756519052886487818329, 3544)
(8491900091760601787561, 3880)
(9060944943270332835181, 4140)
(9201017522103497400749, 4204)
(9454899071238608175841, 4320)
(9638744330957136668149, 4404)
(9770062373613228448369, 4464)
(9778816909790301233717, 4468)
(10146507429227358218333, 4636)
(10671779599851725339213, 4876)
(10741815889268307621997, 4908)
(11267088059892674742877, 5148)
(11302106204600965884269, 5164)
(11328369813132184240313, 5176)
(11555987753736076659361, 5280)
(12011223634943861497457, 5488)
(12562759414099446974381, 5740)
(12842904571765776105517, 5868)
(13009240759130159027129, 5944)
(13560776538285744504053, 6196)
(13665830972410617928229, 6244)
(13849676232129146420537, 6328)
(13875939840660364776581, 6340)
(14007257883316456556801, 6400)
(14217366751566203405153, 6496)
(14243630360097421761197, 6508)
(14576302734826187604421, 6660)
(14611320879534478745813, 6676)
(15110329441627627510649, 6904)
(15705637901668576914313, 7176)
(15924501306095396548013, 7276)
(16055819348751488328233, 7336)
(16187137391407580108453, 7396)
(17307718022072896632997, 7908)
(17517826890322643481349, 8004)
(17894271945936773251313, 8176)
(17964308235353355534097, 8208)
(18393280508029922016149, 8404)
(18472071333623577084281, 8440)
(18568371231571377723109, 8484)
(19146170619258181556077, 8748)
(19303752270445491692341, 8820)
(19356279487507928404429, 8844)
(19365034023685001189777, 8848)
(19522615674872311326041, 8920)
(20047887845496678446921, 9160)
(20065396917850824017617, 9168)
(20257996713746425295273, 9256)
(20433087437287881002233, 9336)
(20616932697006409494541, 9420)
