(118309469301481728021064552090532994714519033903917, 172)
(148574682378604960770639204950901900339163437925849, 216)
(354928407904445184063193656271598984143557101711749, 516)
(506254473290061347811066920573443512266779121821409, 736)
(547525218395229392469577810837582929027657854578589, 796)
(564033516437296610332982166943238695732009347681461, 820)
(687845751752800744308514837735656946014645545953001, 1000)
(759381709935092021716600380860165268400168682732113, 1104)
(825414902103360893170217805282788335217574655143601, 1200)
(852928732173472922942558398792214613058160476981721, 1240)
(1617813208122587350613626898354265137026446324081457, 2352)
(1741625443438091484589159569146683387309082522352997, 2532)
(1868189061760606821541926299290044265375777302808349, 2716)
(2038774808195301406130437979048487187987409398204693, 2964)
(2487250238338127491419589653252135516788958294166049, 3616)
(2864189710298662299300655784331275523204984053348293, 4164)
(2916465987431875155868102911999185451102097114840721, 4240)
(2974245030579110418390018158368980634567327340700773, 4324)
(3271394395336320339931296568270784435245654216552469, 4756)
(3301659608413443572680871221131153340870298620574401, 4800)
(3411714928693891691770233595168858452232641907926881, 4960)
(3452985673799059736428744485432997868993520640684061, 5020)
(3461239822820093345360446663485825752345696387235497, 5032)
(3549284079044451840631936562715989841435571017117481, 5160)
(3758389187577303266901725073387629553024023263087193, 5464)
(4432478024295047996324069614368573360118375898121133, 6444)
(4663594196883989046411730599847754093979296801561341, 6780)
(5002014306746367012611519900013697311418502410170217, 7272)
(5216622181293240844835776529387222278575071820507553, 7584)
(5266147075419442498425989597704189578688126299816169, 7656)
(5282655373461509716289393953809845345392477792919041, 7680)
(5400964842762991444310458505900378340106996826822957, 7852)
(5582556121225730840807906423062591773854863250954549, 8116)
(5761396016681459034328120280873862579818671092902329, 8376)
(5951241444165232039757270376088903896918713263585357, 8652)
(6033782934375568129074292156617182730440470729099717, 8772)
(6094313360529814594573441462337920541689759537143581, 8860)
(6685860707037223234678764222790585515262354706663161, 9720)
(6735385601163424888268977291107552815375409185971777, 9792)
(6762899431233536918041317884616979093215995007809897, 9832)
(6859197836478929022244509961899971065658045384243317, 9972)
(7084811243053847666377702828677266543950849123315901, 10300)
(7093065392074881275309405006730094427303024869867337, 10312)
(7142590286201082928899618075047061727416079349175953, 10384)
(7222380393404407815239405796224397933153778232506501, 10500)
(7357198160747956761123874704420586694572648759513289, 10696)
(7370955075783012776010045001175299833492941670432349, 10716)
(7381960607811057587918981238579070344629175999167597, 10732)
(8295419766138776976360688943092022768936625284193181, 12060)
(8386215405370146674609412901673129485810558496258977, 12192)
(8609077428938054115765371709099482336319303653147749, 12516)
(9008027964954678547464310314986163365007798069800489, 13096)
(9046547327052835389145587145899360153984618220373857, 13152)
(9395972968943258167254312683469073882560058157717981, 13660)
(9610580843490131999478569312842598849716627568055317, 13972)
(9693122333700468088795591093370877683238385033569677, 14092)
(9726138929784602524522399805582189216647088019775421, 14140)
(9783917972931837787044315051951984400112318245635473, 14224)
(9907730208247341921019847722744402650394954443907013, 14404)
(10325940425313044773559424744087682073571858935846437, 15012)
(10383719468460280036081339990457477257037089161706489, 15096)
(10634095322098299507009639391393256385386420140433381, 15460)
(10656106386154389130827511866200797407658888797903877, 15492)
(10683620216224501160599852459710223685499474619741997, 15532)
(10837697664617128527324959783363010841406755222035469, 15756)
(10978018197974699879163896810261084858393742913409881, 15960)
(11096327667276181607184961362351617853108261947313797, 16132)
(11473267139236716415066027493430757859524287706496041, 16680)
